PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
JRCigars;Storefront Implementation;My Account;Profile >> My auctions;assuming auction site provides API or similar integration capabilities to leverage;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;My Account;Profile >> My wishlist;Assume standard Site Genesis functionality;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;My Account;Profile >> SMS notifications;Assuming integration with existing SMS provider;Story;;;;1;0,25;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Quickview;Quick view - standard/ single variation products;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview;Quick view - standard/ single variation products;Assuming standard Site Genesis template;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - edit cart;;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - edit cart;;Story;;;;;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - product set;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - product set;;Story;;;;;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - variation products ;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - variation products ;Assuming standard Site Genesis template;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Ratings and Reviews;Assume utilizing BV LINK cartridge and client performs dashboard configurations;;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Recommendation;;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;PDP;Recommendations;Scroll carousel/ cross sell;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;Recommendations;;Story;;;;0;0;;;;;;;
JRCigars;Storefront Implementation;PDP;Recommendations ;on the pdp as well;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
SantaClaraCigars;Storefront Implementation;My Account;Registration is a 5 step process;Assume integration with existing Business verification entity;Story;;;;0,75;3;;1,5;0,1875;0,9375;51;6,375;51
Refapp - P1 Release Cigars.com;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
JRCigars;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
Seriouscigar;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
SantaClaraCigars;Release;Release;Regression and smoke testing Staging and dev;;Story;;;;1;1;;1;;;24;3;24
Refapp - Phase 1 Release;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Refapp - P1 Release Cigars.com;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;1;;;;;;40;5;40
JRCigars;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Seriouscigar;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
SantaClaraCigars;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Seriouscigar;Storefront Implementation;Storefront Implementation;Replicate product list page for multi add to cart view;Assume quantity denominations are defined as product variations in SFCC catalog;Story;;;;;1;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Reporting;Support;Reporting;;Story;;;;;;;5,24;;3,409375;69,195;8,649375;69,195
JRCigars;Reporting;Support;Reporting;;Story;;;;;;;8,1325;;9,19125;138,59;17,32375;138,59
Seriouscigar;Reporting;Support;Reporting;;Story;;;;;;;1,693;;1,058125;22,009;2,751125;22,009
SantaClaraCigars;Reporting;Support;Reporting;;Story;;;;;;;1,463;;0,914375;19,019;2,377375;19,019
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Reset Password ;;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Reset Password ;Assuming standard Site Genesis template;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Search Results;Result refinement;Category/ size/ color ;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;Result refinement;Assuming standard Site Genesis template;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - Phase 1 Release;Prestart Activities;SRA;Review and Complete SRA Gate 1;;Story;;;3;3;2;;;;3;88;11;88
Refapp - P1 Release Cigars.com;Site Readiness Assessment;SRA;Review and Complete SRA Gate 1;;Story;;;3;3;2;;;;3;88;11;88
Refapp - Phase 1 Release;Prestart Activities;SRA;Review and Complete SRA Gate 2;;Story;;;2;3;4;;;;1;80;10;80
Refapp - P1 Release Cigars.com;Site Readiness Assessment;SRA;Review and Complete SRA Gate 2;;Story;;;2;3;4;;;;1;80;10;80
